iter	Logloss
0	0.5245234802
1	0.4363928699
2	0.3819334079
3	0.3509066156
4	0.3364713212
5	0.3263732152
6	0.318530204
7	0.3136875451
8	0.3100302257
9	0.3063787625
10	0.3031035785
11	0.3012032111
12	0.2999626496
13	0.2980678733
14	0.296367802
15	0.2957134363
16	0.2940282812
17	0.2920185763
18	0.2911341166
19	0.2904115437
20	0.2896017526
21	0.2886650131
22	0.2860160525
23	0.2852131768
24	0.2845483369
25	0.2838097472
26	0.2834139903
27	0.2827906825
28	0.28206721
29	0.2817579447
30	0.2810497473
31	0.280945042
32	0.2802051832
33	0.2798021458
34	0.2794330056
35	0.2789923852
36	0.2788600242
37	0.2784335394
38	0.2777852382
39	0.277778264
40	0.2772842501
41	0.2762489675
42	0.2758265863
43	0.2750816197
44	0.2750645116
45	0.2747878983
46	0.2745499695
47	0.2739420277
48	0.2737775388
49	0.2734507769
50	0.2734094287
51	0.2729561543
52	0.2727897327
53	0.2723782225
54	0.2723108365
55	0.2717923536
56	0.2707237074
57	0.270158642
58	0.2699062561
59	0.2694794288
60	0.2690375277
61	0.2687860951
62	0.2687451783
63	0.2685107638
64	0.2680667804
65	0.2677027033
66	0.2676694553
67	0.2673002141
68	0.2666868701
69	0.2666667757
70	0.2663593554
71	0.2662367284
72	0.2660570895
73	0.2656534468
74	0.2655228871
75	0.2651508964
76	0.2651365004
77	0.2642964903
78	0.2639964082
79	0.2638432791
80	0.2637232682
81	0.2634470896
82	0.262941094
83	0.2627028175
84	0.2625344809
85	0.2623490416
86	0.2615515636
87	0.2615337484
88	0.2615114753
89	0.2615012281
90	0.261403553
91	0.2610816958
92	0.2606154265
93	0.2605704903
94	0.2603859082
95	0.2603802173
96	0.2602405007
97	0.260213063
98	0.2597846106
99	0.259737768
100	0.2597291223
101	0.2597218767
102	0.2595178128
103	0.2593457638
104	0.2586678283
105	0.2585639036
106	0.2585032738
107	0.2584949649
108	0.258307863
109	0.2579988505
110	0.2579653576
111	0.2576412256
112	0.2574358635
113	0.2571385742
114	0.2571169988
115	0.2568439465
116	0.2565765493
117	0.256268331
118	0.2560207014
119	0.2559468232
120	0.2556205166
121	0.2553186276
122	0.2551154968
123	0.2550427592
124	0.2548679621
125	0.2547304954
126	0.2545146312
127	0.2544225561
128	0.254181708
129	0.2540616739
130	0.2540024982
131	0.2539958251
132	0.2538946864
133	0.2536367552
134	0.2536221212
135	0.2534778287
136	0.2532078307
137	0.2530198933
138	0.2529510831
139	0.2529448353
140	0.2528968543
141	0.2527703653
142	0.2525320839
143	0.252402488
144	0.252364862
145	0.2521538606
146	0.2520299566
147	0.2516708571
148	0.2514488167
149	0.251346333
150	0.2512690637
151	0.2509536237
152	0.2508104023
153	0.2507015881
154	0.2505692364
155	0.2503793702
156	0.2502451925
157	0.2500766739
158	0.249909553
159	0.2498928358
160	0.249735861
161	0.2495552253
162	0.2493892293
163	0.2493398731
164	0.2492249948
165	0.2491738552
166	0.2490863292
167	0.2490669553
168	0.2488977266
169	0.248616833
170	0.248596839
171	0.248521144
172	0.2484046019
173	0.2483249218
174	0.2481586282
175	0.2479176236
176	0.2476877981
177	0.247660521
178	0.2474702501
179	0.2471106952
180	0.2467380113
181	0.246722939
182	0.2462754705
183	0.2459431928
184	0.2458660596
185	0.245740191
